ID,std_NLL,prob_NLL
91484.0,222.00706735069,135.44120421878534
98763.0,321.04342866455625,336.36514880829714
33708.0,470.45447709401935,483.9690649002704
51325.0,264.28960518079083,164.55340382900178
42292.0,280.47789092938086,218.64440232997052
43580.0,210.6384465945587,211.0691779518875
14189.0,250.54628342089023,321.630851209623
19737.0,263.57028551245,302.31563469390983
56864.0,257.5605796321453,218.54210844908636
66473.0,296.1959547373023,286.2583625914985
67590.0,292.4306889621197,125.99324212890647
97388.0,277.5859718265788,253.45626081358168
26365.0,236.8208600921645,249.75150256594185
62686.0,260.9929350010955,89.32244481352593
31601.0,336.01744735016564,297.17551143366285
67505.0,373.7566137872166,142.59773329872866
39232.0,311.23466816837936,324.03342086598684
36524.0,414.5797621798426,558.332156215743
78276.0,290.5968391670717,306.74709984871066
99977.0,331.62856241079413,398.4863150999922
50905.0,227.543310169878,227.4229425827815
75842.0,227.22762270155917,268.14057966876146
49589.0,275.48376269992656,273.80839111861417
53463.0,274.06916523314845,265.1067811404539
27371.0,306.1768624895262,302.82679833391774
20272.0,240.27297150599597,
19487.0,329.9683653840856,190.59206306262857
20340.0,222.23475532669997,216.68014508878974
68825.0,321.9643680503635,
13662.0,316.0914846045714,333.5702933858207
29690.0,197.19415127904875,224.15156133930944
92567.0,262.9336023035388,220.14672388110893
96815.0,254.3737686872224,345.1033584540901
85609.0,220.92096681932654,222.0036433981708
